Data,Descricao,Valor
09/03/2026,REND PAGO APLIC AUT MAIS,"0,01"
05/03/2026,PIX QRS ALCES BARBE05/03,"-50,00"
05/03/2026,PIX TRANSF CLNT EX05/03,"-400,00"
05/03/2026,PIX QRS MERCADO PAG05/03,"-245,32"
05/03/2026,REND PAGO APLIC AUT MAIS,"0,01"
04/03/2026,PAG BOLETO NU PAGAMENTOS SA,"-381,71"
03/03/2026,PAGTO SALARIO,"3.174,00"
27/02/2026,RESGATE CDB Cofrinhos,"100,01"
27/02/2026,PIX QRS SUPERMERCAD27/02,"-77,46"
27/02/2026,PIX TRANSF CLNT EX27/02,"-29,22"
18/02/2026,RESGATE CDB Cofrinhos,"200,01"
18/02/2026,PIX TRANSF CLNT EX15/02,"-200,00"
12/02/2026,PIX QRS SERVICO SOC12/02,"-22,57"
12/02/2026,PIX QRS POSTO ISLEB12/02,"-30,00"
12/02/2026,PIX QRS WF TECNOLOG12/02,"-50,00"
10/02/2026,PIX QRS CHEIRIN BAO10/02,"-24,90"
10/02/2026,RESGATE CDB Cofrinhos,"200,01"
10/02/2026,PIX QRS UNIVERSIDAD10/02,"-95,58"
09/02/2026,RESGATE CDB Cofrinhos,"130,00"
09/02/2026,PIX QRS PRIME CONVE08/02,"-77,00"
09/02/2026,PIX QRS UNIAO LANCH09/02,"-19,00"
09/02/2026,PIX QRS ARMAZEM NAT09/02,"-7,00"
09/02/2026,PIX QRS SERVICO SOC09/02,"-2,50"
09/02/2026,PIX QRS FANTONI CON09/02,"-32,00"
05/02/2026,PAG BOLETO BLUVELLOX TELECOMUNICACOES L,"-109,99"
05/02/2026,PIX TRANSF Eduardo05/02,"-278,99"
04/02/2026,PIX TRANSF CLNT EX04/02,"-200,00"
03/02/2026,PAGTO SALARIO,"2.799,00"
03/02/2026,FATURA PAGA ITAU PLATINU,"-332,00"
03/02/2026,PAG BOLETO CONSORCIO NACIONAL HONDA,"-750,14"
03/02/2026,PAG BOLETO NU PAGAMENTOS SA,"-152,75"
03/02/2026,PIX TRANSF CLNT EX03/02,"-421,00"
03/02/2026,PIX TRANSF CLNT EX03/02,"-350,00"
03/02/2026,PAG BOLETO CENTRO DE ATIVIDADES BLUMENAU,"-97,00"
03/02/2026,PIX QRS CONFECCOES 03/02,"-100,00"
03/02/2026,PIX QRS PIX Marketp03/02,"-44,90"
02/02/2026,RESGATE CDB Cofrinhos,"750,01"
02/02/2026,PIX QRS LCR MOTOS31/01,"-695,00"
02/02/2026,PIX QRS AUTO POSTO 31/01,"-50,00"
02/02/2026,RESGATE CDB Cofrinhos,"100,00"
02/02/2026,PIX QRS VIDASUB COM02/02,"-106,60"
02/02/2026,RESGATE CDB Cofrinhos,"100,00"
02/02/2026,PIX QRS SHOPPING PA02/02,"-10,00"
02/02/2026,PIX QRS SHOPPING PA02/02,"-16,00"
02/02/2026,DEV PIX SHOPPING PA02/02,"16,00"
02/02/2026,PIX TRANSF Bárbara02/02,"-16,00"
29/01/2026,RESGATE CDB Cofrinhos,"10,01"
29/01/2026,PIX TRANSF VALDECI29/01,"-30,00"
26/01/2026,RESGATE CDB Cofrinhos,"30,01"
26/01/2026,PIX QRS FANTONI CON26/01,"-20,00"
19/01/2026,PIX TRANSF ELAINE 18/01,"-82,39"
19/01/2026,PIX TRANSF Ryan Ni18/01,"-124,95"
19/01/2026,REND PAGO APLIC AUT MAIS,"0,01"
16/01/2026,PIX QRS AGROPECUARI16/01,"-24,00"
14/01/2026,PIX QRS Tomate Pela14/01,"-53,98"
13/01/2026,PIX QRS PAGGPIX MEI13/01,"-25,90"
12/01/2026,PIX QRS XANDOKA10/01,"-55,97"
12/01/2026,PIX QRS FABRICIO DA10/01,"-94,00"
12/01/2026,PIX QRS ANDREZA YAN10/01,"-59,90"
12/01/2026,PIX QRS RAIA DROGAS11/01,"-70,17"
12/01/2026,REND PAGO APLIC AUT MAIS,"0,01"
08/01/2026,PIX QRS UNICESUMAR08/01,"-95,58"
07/01/2026,PAG BOLETO BLUVELLOX TELECOMUNICACOES L,"-109,99"
05/01/2026,RESGATE CDB Cofrinhos,"2.000,09"
05/01/2026,PIX TRANSF BRASIL 04/01,"-1.929,70"
05/01/2026,IOF,"-1,03"
02/01/2026,PAGTO SALARIO,"3.458,00"
02/01/2026,APLICACAO COFRINHOS,"-2.000,00"
02/01/2026,PAG BOLETO CONSORCIO NACIONAL HONDA,"-722,00"
02/01/2026,JUROS SALDO DEVEDOR C/C,"-5,94"
